locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJICCACA_03091	CDS	837				hypothetical protein
IJICCACA_03092	CDS	483				integral membrane protein
IJICCACA_03093	CDS	855	hisG			ATP phosphoribosyltransferase
IJICCACA_03094	CDS	282	hisE			phosphoribosyl-ATP pyrophosphatase
IJICCACA_03095	CDS	1422	PPE37			PPE family protein PPE37
IJICCACA_03096	CDS	3579	metH			methionine synthase
IJICCACA_03097	CDS	879				hypothetical protein
IJICCACA_03098	CDS	1125				hypothetical protein
IJICCACA_03099	CDS	1470	ansP1			L-asparagine permease
IJICCACA_03100	CDS	204				transmembrane protein
IJICCACA_03101	CDS	882				oxidoreductase
IJICCACA_03102	CDS	1245	mshC			cysteine:1D-myo-inosityl 2-amino-2-deoxy--D-glucopyranoside ligase
IJICCACA_03103	CDS	804	cysQ			3'(2'),5'-bisphosphate nucleotidase CysQ
IJICCACA_03104	CDS	246				hypothetical protein
IJICCACA_03105	CDS	159				hypothetical protein
IJICCACA_03106	CDS	837				hypothetical protein
IJICCACA_03107	CDS	588				hypothetical protein
IJICCACA_03108	CDS	711	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
IJICCACA_03109	CDS	831				undecaprenyl-diphosphatase
IJICCACA_03110	CDS	309				hypothetical protein
IJICCACA_03111	CDS	1026	lppL			lipoprotein LppL
IJICCACA_03112	CDS	282				hypothetical protein
IJICCACA_03113	CDS	1119	pyrD			dihydroorotate dehydrogenase
IJICCACA_03114	CDS	531				hypothetical protein
IJICCACA_03115	CDS	1347	dapE_3	3.5.1.18		Succinyl-diaminopimelate desuccinylase
IJICCACA_03116	tRNA	87				tRNA-Leu(gag)
IJICCACA_03117	CDS	318	parE2			toxin ParE2
IJICCACA_03118	CDS	216	parD2			antitoxin ParD2
IJICCACA_03119	CDS	1059	pyrE_2	2.4.2.10		Orotate phosphoribosyltransferase
IJICCACA_03120	CDS	357				transmembrane protein
IJICCACA_03121	CDS	783	wag31			cell wall synthesis protein Wag31
IJICCACA_03122	CDS	288				transmembrane protein
IJICCACA_03123	CDS	657				cell division protein SepF
IJICCACA_03124	CDS	777			COG0325	Pyridoxal phosphate homeostasis protein
IJICCACA_03125	CDS	804	yfiH			laccase domain-containing protein
IJICCACA_03126	CDS	1140	ftsZ			cell division protein FtsZ
IJICCACA_03127	CDS	945	ftsQ			cell division protein FtsQ
IJICCACA_03128	CDS	1485	murC			UDP-N-acetylmuramate--alanine ligase
IJICCACA_03129	CDS	1233	murG			UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase
IJICCACA_03130	CDS	1575	ftsW			lipid II flippase FtsW
IJICCACA_03131	CDS	1470	murD			UDP-N-acetylmuramoylalanine--D-glutamate ligase
IJICCACA_03132	CDS	1080	murX			phospho-N-acetylmuramoyl- pentappeptidetransferase
IJICCACA_03133	CDS	1533	murF			UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
IJICCACA_03134	CDS	1554	murE			UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase
IJICCACA_03135	CDS	1035				hypothetical protein
IJICCACA_03136	CDS	342				hypothetical protein
IJICCACA_03137	CDS	867				oxidoreductase
IJICCACA_03138	CDS	1599	PE_PGRS38			PE-PGRS family protein PE_PGRS38
IJICCACA_03139	CDS	1821	pbpB			penicillin-binding membrane protein PbpB
IJICCACA_03140	CDS	1155				hypothetical protein
IJICCACA_03141	CDS	1035				rRNA small subunit methyltransferase H
IJICCACA_03142	misc_RNA	104				mraW
IJICCACA_03143	CDS	432				transcriptional regulator MraZ
IJICCACA_03144	CDS	1443				hypothetical protein
IJICCACA_03145	CDS	876				oxidoreductase
IJICCACA_03146	CDS	1248	proA			gamma-glutamyl phosphate reductase
IJICCACA_03147	CDS	234				hypothetical protein
IJICCACA_03148	CDS	588	ahpC			alkyl hydroperoxide reductase subunit AhpC
IJICCACA_03149	CDS	534	ahpD			alkyl hydroperoxide reductase AphD
IJICCACA_03150	CDS	585	PPE41			PPE family protein PPE41
IJICCACA_03151	CDS	300	PE25			PE family protein PE25
IJICCACA_03152	CDS	291				hypothetical protein
IJICCACA_03153	CDS	1446				transmembrane protein
IJICCACA_03154	CDS	2193				cyclase
IJICCACA_03155	CDS	915	rbsK			ribokinase RbsK
IJICCACA_03156	CDS	438				transmembrane protein
IJICCACA_03157	CDS	2217	nadE			glutamine-dependent NAD(+) synthetase
IJICCACA_03158	CDS	1131	proB			glutamate 5-kinase protein
IJICCACA_03159	CDS	1455	obg			GTPase Obg
IJICCACA_03160	CDS	261	rpmA			50S ribosomal protein L27
IJICCACA_03161	CDS	312	rplU			50S ribosomal protein L21
IJICCACA_03162	CDS	1476	dctA			C4-dicarboxylate-transport transmembrane protein DctA
IJICCACA_03163	CDS	2862	rne			ribonuclease E
IJICCACA_03164	CDS	423	ndkA			nucleoside diphosphate kinase
IJICCACA_03165	CDS	372				integral membrane protein
IJICCACA_03166	CDS	1464	folC			folylpolyglutamate synthase FolC
IJICCACA_03167	CDS	2631	valS			valine--tRNA ligase
IJICCACA_03168	CDS	1260				trans-acting enoyl reductase
IJICCACA_03169	CDS	567	rpfE			resuscitation-promoting factor RpfE
IJICCACA_03170	CDS	537	mobA			molybdenum cofactor guanylyltransferase
IJICCACA_03171	CDS	1122				2-oxoglutarate oxidoreductase subunit KorB
IJICCACA_03172	CDS	1962				2-oxoglutarate oxidoreductase subunit KorA
IJICCACA_03173	CDS	1257				MFS-type transporter
IJICCACA_03174	CDS	1281	clpX			ATP-dependent CLP protease ATP-binding subunit ClpX
IJICCACA_03175	CDS	909	mmuM			homocysteine S-methyltransferase MmuM
IJICCACA_03176	CDS	1617				MFS-type transporter
IJICCACA_03177	CDS	645	clpP2			ATP-dependent CLP protease proteolytic subunit 2
IJICCACA_03178	CDS	603	clpP1			ATP-dependent CLP protease proteolytic subunit 1
IJICCACA_03179	CDS	1401	tig			trigger factor
IJICCACA_03180	tRNA	77				tRNA-Pro(tgg)
IJICCACA_03181	tRNA	72				tRNA-Gly(tcc)
IJICCACA_03182	CDS	1185	lipP			esterase/lipase LipP
IJICCACA_03183	CDS	807				DNA glycosylase
IJICCACA_03184	CDS	489	rpiB			ribose-5-phosphate isomerase B
IJICCACA_03185	CDS	624				Thioredoxin-like reductase
IJICCACA_03186	CDS	2586	pepN			aminopeptidase PepN
IJICCACA_03187	CDS	468				putative protein
IJICCACA_03188	CDS	234				hypothetical protein
IJICCACA_03189	CDS	669				hypothetical protein
IJICCACA_03190	CDS	387	glbO			hemoglobin GlbO
IJICCACA_03191	CDS	1563	aglA			alpha-glucosidase AglA
IJICCACA_03192	CDS	465				hypothetical protein
IJICCACA_03193	CDS	675				hypothetical protein
IJICCACA_03194	CDS	417				hypothetical protein
IJICCACA_03195	CDS	4875	gdh			NAD-dependent glutamate dehydrogenase
IJICCACA_03196	CDS	1677				macrolide ABC transporter ATP-binding protein
IJICCACA_03197	CDS	486	ssb_2			single-strand DNA-binding protein
IJICCACA_03198	CDS	1611	PPE3			PPE family protein PPE3
IJICCACA_03199	CDS	909				S-adenosylmethionine-dependent methyltransferase
IJICCACA_03200	CDS	1896	eccA3			ESX-3 secretion system protein EccA
IJICCACA_03201	CDS	1617	eccB3			ESX-3 secretion system protein EccB3
IJICCACA_03202	CDS	3993	eccC3			ESX-3 secretion system protein EccC3
IJICCACA_03203	CDS	309	PE5			PE family protein PE5
IJICCACA_03204	CDS	1542	PPE4			PPE family protein PPE4
IJICCACA_03205	CDS	294	esxG			ESAT-6 like protein EsxG
IJICCACA_03206	CDS	291	esxH			ESAT-6-like protein EsxH
IJICCACA_03207	CDS	888	espG3			ESX-3 secretion-associated protein EspG3
IJICCACA_03208	CDS	1419	eccD3			ESX-3 secretion system protein EccD
IJICCACA_03209	CDS	1386	mycP3			membrane-anchored mycosin MycP
IJICCACA_03210	CDS	996	eccE3			ESX-3 secretion system protein EccE
IJICCACA_03211	CDS	1212				hypothetical protein
IJICCACA_03212	CDS	786	tam			trans-aconitate methyltransferase
IJICCACA_03213	CDS	804	stf0	2.8.2.37	COG4424	Trehalose 2-sulfotransferase
IJICCACA_03214	CDS	1398				sulfatase
IJICCACA_03215	CDS	1776	PE_PGRS5			PE-PGRS family protein PE_PGRS5
IJICCACA_03216	CDS	228				antitoxin
IJICCACA_03217	CDS	303				toxin
IJICCACA_03218	CDS	222	vapB2			antitoxin VapB2
IJICCACA_03219	CDS	426	vapC2			ribonuclease VapC2
IJICCACA_03220	CDS	633				transcriptional regulator
IJICCACA_03221	CDS	909				dehydrogenase/reductase
IJICCACA_03222	CDS	6615	PPE5			PPE family protein PPE5
IJICCACA_03223	CDS	2892	PPE6			PPE family protein PPE6
IJICCACA_03224	CDS	672				oxidoreductase
IJICCACA_03225	CDS	483				hypothetical protein
IJICCACA_03226	CDS	717				integral membrane protein
IJICCACA_03227	CDS	657				hypothetical protein
IJICCACA_03228	CDS	492	baiE	4.2.1.106		Bile acid 7-alpha dehydratase
IJICCACA_03229	CDS	1230				hypothetical protein
IJICCACA_03230	CDS	1863	dnaK_3			Chaperone protein DnaK
IJICCACA_03231	CDS	387				putative protein
IJICCACA_03232	CDS	663				membrane protein
IJICCACA_03233	CDS	855				beta-1,3-glucanase
IJICCACA_03234	CDS	615				muconolactone isomerase
IJICCACA_03235	CDS	738	glpQ2			glycerophosphoryl diester phosphodiesterase GlpQ
IJICCACA_03236	tRNA	73				tRNA-Gly(ccc)
IJICCACA_03237	CDS	777				integral membrane protein
IJICCACA_03238	CDS	669	pcp			pyrrolidone-carboxylate peptidase
IJICCACA_03239	CDS	663				hypothetical protein
IJICCACA_03240	CDS	573	dcd			deoxycytidine triphosphate deaminase
IJICCACA_03241	CDS	1332	udgA			UDP-glucose 6-dehydrogenase UdgA
IJICCACA_03242	CDS	672	mshB_1	3.5.1.103		1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
IJICCACA_03243	CDS	681				transcriptional regulator
IJICCACA_03244	CDS	225				hypothetical protein
IJICCACA_03245	CDS	456				hypothetical protein
IJICCACA_03246	CDS	1350	cyp135A1			cytochrome P450 Cyp135A1
IJICCACA_03247	CDS	603				transcriptional regulator
IJICCACA_03248	CDS	627				hypothetical protein
IJICCACA_03249	CDS	741				hypothetical protein
IJICCACA_03250	CDS	1167				dehydrogenase/reductase
IJICCACA_03251	CDS	786				hypothetical protein
IJICCACA_03252	CDS	435				hypothetical protein
IJICCACA_03253	CDS	867	rmlA			glucose-1-phosphate thymidylyltransferase
IJICCACA_03254	CDS	612				hypothetical protein
IJICCACA_03255	CDS	306	PE13			PE family protein PE13
IJICCACA_03256	CDS	1266				transcriptional activator protein
IJICCACA_03257	CDS	1422	fadD36			fatty-acid--CoA ligase FadD36
IJICCACA_03258	CDS	828				hypothetical protein
IJICCACA_03259	CDS	915				hypothetical protein
IJICCACA_03260	CDS	873				haloalkane dehalogenase
IJICCACA_03261	CDS	873	sigI			ECF RNA polymerase sigma factor SigI
IJICCACA_03262	CDS	990				proline dehydrogenase
IJICCACA_03263	CDS	1632	rocA			pyrroline-5-carboxylate dehydrogenase RocA
IJICCACA_03264	CDS	1617				hypothetical protein
IJICCACA_03265	CDS	1737	fadD21			fatty-acid--CoA ligase FadD21
IJICCACA_03266	CDS	1092	chp2	2.3.1.-		Diacyltrehalose acyltransferase Chp2
IJICCACA_03267	CDS	3009	mmpL10			transmembrane transport protein MmpL10
IJICCACA_03268	CDS	1419	papA3			acyltransferase papA3
IJICCACA_03269	CDS	6258	msl3	2.3.1.252	COG3321	Mycolipanoate synthase
IJICCACA_03270	CDS	2820				hypothetical protein
IJICCACA_03271	CDS	1089				aminotransferase
IJICCACA_03272	CDS	327	fdxC			ferredoxin FdxC
IJICCACA_03273	CDS	570				hypothetical protein
IJICCACA_03274	CDS	2025	fadH			NADPH dependent 2,4-dienoyl-CoA reductase FadH
IJICCACA_03275	CDS	333	TB8.4			low molecular weight T-cell antigen
IJICCACA_03276	CDS	2430	fbiC			FO synthase
IJICCACA_03277	CDS	927	PE12			PE family protein PE12
IJICCACA_03278	CDS	441				hypothetical protein
IJICCACA_03279	CDS	108				hypothetical protein
IJICCACA_03280	CDS	912	mshB_2			1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
IJICCACA_03281	CDS	303	lipX			lipase LipX
IJICCACA_03282	CDS	1041	PPE17			PPE family protein PPE17
IJICCACA_03283	CDS	606				transcriptional regulator
IJICCACA_03284	CDS	1908	lpqW			monoacyl phosphatidylinositol tetramannoside-binding protein LpqW
IJICCACA_03285	CDS	1887	typA			GTP-binding translation elongation factor
IJICCACA_03286	CDS	741	narI			nitrate reductase subunit gamma
IJICCACA_03287	CDS	666	narJ			nitrate reductase subunit delta
IJICCACA_03288	CDS	1677	narH			nitrate reductase subunit beta
IJICCACA_03289	CDS	3699	narG			nitrate reductase subunit alpha
IJICCACA_03290	CDS	426	mutT2			8-oxo-dGTP diphosphatase
IJICCACA_03291	CDS	279				4a-hydroxytetrahydrobiopterin dehydratase
IJICCACA_03292	CDS	1296	pimE			polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase
IJICCACA_03293	CDS	684				hypothetical protein
IJICCACA_03294	CDS	1074				hypothetical protein
IJICCACA_03295	CDS	147				hypothetical protein
IJICCACA_03296	CDS	588				hypothetical protein
IJICCACA_03297	CDS	189				putative proteinA
IJICCACA_03298	CDS	444				pyridoxine/pyridoxamine 5'-phosphate oxidase
IJICCACA_03299	CDS	531				hypothetical protein
IJICCACA_03300	CDS	849	omt			O-methyltransferase
IJICCACA_03301	CDS	366				transcriptional regulator
IJICCACA_03302	CDS	714				NAD-dependent protein deacylase
IJICCACA_03303	CDS	258				hypothetical protein
IJICCACA_03304	CDS	255	vapB37			antitoxin VapB37
IJICCACA_03305	CDS	435	vapC37			ribonuclease VapC37
IJICCACA_03306	CDS	834			COG4279	putative protein
IJICCACA_03307	CDS	3042	helZ			helicase HelZ
IJICCACA_03308	CDS	1653				hypothetical protein
IJICCACA_03309	CDS	300				hypothetical protein
IJICCACA_03310	CDS	1173				hypothetical protein
IJICCACA_03311	CDS	1344	pafA			proteasome accessory factor PafA
IJICCACA_03312	CDS	999	pafB			proteasome accessory factor B
IJICCACA_03313	CDS	951	pafC			proteasome accessory factor C
IJICCACA_03314	CDS	252	tatA			Sec-independent protein translocase membrane-bound protein TatA
IJICCACA_03315	CDS	855	tatC			Sec-independent protein translocase transmembrane protein TatC
IJICCACA_03316	CDS	2721	helY			ATP-dependent DNA helicase HelY
IJICCACA_03317	CDS	735				membrane protein
IJICCACA_03318	CDS	921				5'-3' exonuclease
IJICCACA_03319	CDS	1215	pepE			dipeptidase PepE
IJICCACA_03320	CDS	1770	pknJ			transmembrane serine/threonine-protein kinase PknJ
IJICCACA_03321	CDS	606				hypothetical protein
IJICCACA_03322	CDS	1143				putative protein
IJICCACA_03323	CDS	945				hypothetical protein
IJICCACA_03324	CDS	1275				putative protein
IJICCACA_03325	CDS	189				hypothetical protein
IJICCACA_03326	CDS	306				hypothetical protein
IJICCACA_03327	CDS	444				hypothetical protein
IJICCACA_03328	CDS	573	lppJ			lipoprotein LppJ
IJICCACA_03329	CDS	1971				hypothetical protein
IJICCACA_03330	CDS	315				hypothetical protein
IJICCACA_03331	CDS	972				transmembrane protein
IJICCACA_03332	CDS	165				hypothetical protein
IJICCACA_03333	CDS	1428				hypothetical protein
IJICCACA_03334	CDS	408				pyridoxamine 5'-phosphate oxidase
IJICCACA_03335	CDS	750				oxidoreductase
IJICCACA_03336	CDS	1173	cobL			precorrin-6Y C(5,15)-methyltransferase
IJICCACA_03337	CDS	756	cobM			precorrin-4 C(11)-methyltransferase
IJICCACA_03338	CDS	735	cobK			precorrin-6A reductase
IJICCACA_03339	CDS	564	sigC			ECF RNA polymerase sigma factor SigC
IJICCACA_03340	CDS	924	blaC			beta-lactamase
IJICCACA_03341	CDS	1224				putative protein
IJICCACA_03342	CDS	1527	cobIJ			bifunctional S-adenosyl-L-methionine-precorrin-2 methyl transferase/precorrin-3 methylase
IJICCACA_03343	CDS	627	cobH			precorrin-8X methylmutase
IJICCACA_03344	CDS	1092	cobG			precorrin-3B synthase
IJICCACA_03345	CDS	315	mazF7			mRNA interferase MazF7
IJICCACA_03346	CDS	153	mazE7			antitoxin MazE7
IJICCACA_03347	CDS	3585	cobN			cobalamin biosynthesis protein CobN
IJICCACA_03348	CDS	405				hypothetical protein
IJICCACA_03349	CDS	402				integral membrane protein
IJICCACA_03350	CDS	636				hypothetical protein
IJICCACA_03351	CDS	165	rpmG1			50S ribosomal protein L33
IJICCACA_03352	CDS	306	rpsN2			30S ribosomal protein S14
IJICCACA_03353	CDS	267	rpsR2			30S ribosomal protein S18
IJICCACA_03354	CDS	714				hydrolase
IJICCACA_03355	CDS	531	fxsA			transmembrane protein FxsA
IJICCACA_03356	CDS	1605	hutI_2	3.5.2.7		Imidazolonepropionase
IJICCACA_03357	CDS	2790	ppm1			polyprenol-monophosphomannose synthase
IJICCACA_03358	CDS	336				RNA polymerase-binding protein RbpA
IJICCACA_03359	CDS	225				hypothetical protein
IJICCACA_03360	CDS	651				hypothetical protein
IJICCACA_03361	CDS	1470				transmembrane transport protein
IJICCACA_03362	CDS	912				transmembrane transport protein
IJICCACA_03363	CDS	132				hypothetical protein
IJICCACA_03364	CDS	753				oxidoreductase
IJICCACA_03365	CDS	1083	mcr			alpha-methylacyl-CoA racemase
IJICCACA_03366	CDS	807	echA10			enoyl-CoA hydratase EchA10
IJICCACA_03367	CDS	807	echA11			enoyl-CoA hydratase EchA11
IJICCACA_03368	CDS	723				integral membrane protein
IJICCACA_03369	CDS	450				hypothetical protein
IJICCACA_03370	CDS	501				hypothetical protein
IJICCACA_03371	CDS	1017				oxidoreductase
IJICCACA_03372	CDS	342	echA1_2			enoyl-CoA hydratase EchA1
IJICCACA_03373	CDS	243	fadA	2.3.1.16		3-ketoacyl-CoA thiolase
IJICCACA_03374	CDS	1857	PPE16			PPE family protein PPE16
IJICCACA_03375	CDS	237				hypothetical protein
IJICCACA_03376	misc_RNA	219				Cobalamin
IJICCACA_03377	CDS	2280	metE			5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase
IJICCACA_03378	CDS	1731				hypothetical protein
IJICCACA_03379	CDS	1182	prpC			methylcitrate synthase PrpC
IJICCACA_03380	CDS	1500	prpD			2-methylcitrate dehydratase
IJICCACA_03381	CDS	1461				transcriptional regulator
IJICCACA_03382	CDS	1356				putative protein
IJICCACA_03383	CDS	1473	ppdK			pyruvate, phosphate dikinase PpdK
IJICCACA_03384	CDS	606				hypothetical protein
IJICCACA_03385	CDS	1230				hypothetical protein
IJICCACA_03386	CDS	906	ephC			epoxide hydrolase EphC
IJICCACA_03387	CDS	909	bpoB			peroxidase BpoB
IJICCACA_03388	CDS	1023	gnd2			6-phosphogluconate dehydrogenase (decarboxylating)
IJICCACA_03389	CDS	1401	zwf1			glucose-6-phosphate 1-dehydrogenase
IJICCACA_03390	CDS	495				hypothetical protein
IJICCACA_03391	CDS	201				hypothetical protein
IJICCACA_03392	CDS	210				hypothetical protein
IJICCACA_03393	CDS	711				hypothetical protein
IJICCACA_03394	CDS	324				hypothetical protein
IJICCACA_03395	CDS	276				hypothetical protein
IJICCACA_03396	CDS	174				hypothetical protein
IJICCACA_03397	CDS	699				hypothetical protein
IJICCACA_03398	CDS	375	vapC32			ribonuclease VapC32
IJICCACA_03399	CDS	198	vapB32			antitoxin VapB32
IJICCACA_03400	CDS	1074				GTP-binding protein
IJICCACA_03401	CDS	915				hypothetical protein
IJICCACA_03402	CDS	1035	lytB2			4-hydroxy-3-methylbut-2-enyl diphosphate reductase
IJICCACA_03403	CDS	573				putative protein
IJICCACA_03404	CDS	1248	xseA			exodeoxyribonuclease VII large subunit
IJICCACA_03405	CDS	258	xseB			exodeoxyribonuclease VII small subunit
IJICCACA_03406	CDS	1113				3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase
IJICCACA_03407	CDS	516	lipT_1			carboxylesterase LipT
IJICCACA_03408	CDS	690	lipT_2			carboxylesterase LipT
IJICCACA_03409	CDS	321	mazE3			antitoxin MazE3
IJICCACA_03410	CDS	312	mazF3			mRNA interferase MazF3
IJICCACA_03411	CDS	1158			COG0628	Putative transport protein
IJICCACA_03412	CDS	579				hypothetical protein
IJICCACA_03413	CDS	1089	glpX			fructose 1,6-bisphosphatase
IJICCACA_03414	CDS	1425	fum			fumarate hydratase
IJICCACA_03415	CDS	882				hypothetical protein
IJICCACA_03416	CDS	876				glycosyl hydrolase
IJICCACA_03417	CDS	1302	phoH2			phosphate starvation-inducible protein PsiH
IJICCACA_03418	CDS	828	desA2			acyl-ACP desaturase DesA
IJICCACA_03419	misc_RNA	68				ASdes
IJICCACA_03420	CDS	1281	glyA1			serine hydroxymethyltransferase
IJICCACA_03421	CDS	939	coaA			pantothenate kinase
IJICCACA_03422	CDS	1215	PE_PGRS22			PE-PGRS family protein PE_PGRS22
IJICCACA_03423	CDS	306				hypothetical protein
IJICCACA_03424	CDS	960				hypothetical protein
IJICCACA_03425	misc_RNA	349				Mcr7
IJICCACA_03426	CDS	2004				integral membrane protein
IJICCACA_03427	CDS	1890	ggtB			gamma-glutamyltranspeptidase precursor GgtB
IJICCACA_03428	CDS	813	che1_2			ferrochelatase
IJICCACA_03429	CDS	765	cysH			phosphoadenosine phosphosulfate reductase
IJICCACA_03430	CDS	1668	sirA			sulfite reductase
IJICCACA_03431	CDS	567				membrane protein
IJICCACA_03432	CDS	465	rpfD			resuscitation-promoting factor RpfD
IJICCACA_03433	CDS	1173	hemN			oxygen-independent coproporphyrinogen III oxidase
IJICCACA_03434	CDS	1254				hypothetical protein
IJICCACA_03435	CDS	210				putative proteinA/RVBD_2386A
IJICCACA_03436	CDS	1353	mbtI			salicylate synthase
IJICCACA_03437	CDS	921	mbtJ			acetyl hydrolase
IJICCACA_03438	CDS	1698	mbtA			2,3-dihydroxybenzoate-AMP ligase
IJICCACA_03439	CDS	4245	mbtB			phenyloxazoline synthase
IJICCACA_03440	CDS	1335	mbtC			polyketide synthetase
IJICCACA_03441	CDS	3015	mbtD			polyketide synthetase
IJICCACA_03442	CDS	5196	mbtE			peptide synthetase
IJICCACA_03443	CDS	4386	mbtF			peptide synthetase
IJICCACA_03444	CDS	1296	mbtG			L-lysine N6-monooxygenase
IJICCACA_03445	CDS	216	mbtH		COG3251	Protein MbtH
IJICCACA_03446	CDS	507	cfp2			low molecular weight antigen MTB12
IJICCACA_03447	CDS	318				hypothetical protein
IJICCACA_03448	CDS	1032	hrcA			heat-inducible transcription repressor HrcA
IJICCACA_03449	CDS	1149	dnaJ2			chaperone protein DnaJ
IJICCACA_03450	CDS	789				rRNA small subunit methyltransferase E
IJICCACA_03451	CDS	141				hypothetical protein
IJICCACA_03452	CDS	186	PE_PGRS40			PE-PGRS family protein PE_PGRS40
IJICCACA_03453	CDS	1314				transcriptional activator protein
IJICCACA_03454	CDS	1059	phoH1			phosphate starvation-inducible protein PhoH
IJICCACA_03455	CDS	534				endoribonuclease
IJICCACA_03456	CDS	1308				transmembrane protein
IJICCACA_03457	CDS	342				hypothetical protein
IJICCACA_03458	CDS	930	era			GTPase Era
IJICCACA_03459	CDS	1455	amiA2			amidase
IJICCACA_03460	CDS	798	recO			DNA repair protein RecO
IJICCACA_03461	CDS	891				decaprenyl diphosphate synthase
IJICCACA_03462	CDS	429				hypothetical protein
IJICCACA_03463	CDS	393	zur			zinc uptake regulation protein
IJICCACA_03464	CDS	408	smtB			HTH-type transcriptional regulator SmtB
IJICCACA_03465	CDS	1455	glyS			glycine--tRNA ligase
IJICCACA_03466	CDS	1848	PPE21_2			PPE family protein PPE21
IJICCACA_03467	CDS	1227	PE_PGRS10			PE-PGRS family protein PE_PGRS10
IJICCACA_03468	CDS	258	vapB31			antitoxin VapB31
IJICCACA_03469	CDS	429	vapC31			ribonuclease VapC31
IJICCACA_03470	CDS	138				hypothetical protein
IJICCACA_03471	CDS	270				putative protein
IJICCACA_03472	CDS	885	mmsB_2			3-hydroxyisobutyrate dehydrogenase
IJICCACA_03473	CDS	1173	fadE9			acyl-CoA dehydrogenase FadE9
IJICCACA_03474	CDS	1533	mmsA			methylmalonate-semialdehyde dehydrogenase
IJICCACA_03475	CDS	1755	PE_PGRS11			PE-PGRS family protein PE_PGRS11
IJICCACA_03476	CDS	1938	PPE12			PPE family protein PPE12
IJICCACA_03477	CDS	171				hypothetical protein
IJICCACA_03478	tRNA	73				tRNA-Thr(tgt)
IJICCACA_03479	CDS	726				hypothetical protein
IJICCACA_03480	CDS	744	phoP			two component system response transcriptional positive regulator PhoP
IJICCACA_03481	CDS	1458	phoR			two component system response sensor kinase PhoR
IJICCACA_03482	CDS	402			COG0537	putative HIT-like protein
IJICCACA_03483	CDS	420				hypothetical protein
IJICCACA_03484	CDS	1128	adhB			alcohol dehydrogenase B
IJICCACA_03485	CDS	546				hypothetical protein
IJICCACA_03486	CDS	207				ferredoxin
IJICCACA_03487	CDS	1356	cyp51			lanosterol 14-alpha demethylase
IJICCACA_03488	CDS	828				oxidoreductase
IJICCACA_03489	CDS	1209	cyp123			cytochrome P450 Cyp123
IJICCACA_03490	CDS	642				HTH-type transcriptional regulator
IJICCACA_03491	CDS	1470	aldA			aldehyde dehydrogenase AldA
IJICCACA_03492	CDS	747				oxidoreductase
IJICCACA_03493	CDS	888				oxidoreductase
IJICCACA_03494	CDS	432				4-carboxymuconolactone decarboxylase
IJICCACA_03495	CDS	1269	purD			phosphoribosylamine--glycine ligase
IJICCACA_03496	CDS	1584	ggtA			bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase
IJICCACA_03497	CDS	702				membrane protein
IJICCACA_03498	CDS	573				hypothetical protein
IJICCACA_03499	CDS	780				hypothetical protein
IJICCACA_03500	CDS	1419	purB			adenylosuccinate lyase PurB
IJICCACA_03501	CDS	1245	cyp126			cytochrome P450 Cyp126
IJICCACA_03502	CDS	621				transmembrane protein
IJICCACA_03503	CDS	894	purC			phosphoribosylaminoimidazole-succinocarboxamide synthase
IJICCACA_03504	CDS	711	dapb1_1	3.4.14.-		Dipeptidyl aminopeptidase BI
IJICCACA_03505	CDS	1509	dapb1_2	3.4.14.-		Dipeptidyl aminopeptidase BI
IJICCACA_03506	CDS	162				hypothetical protein
IJICCACA_03507	CDS	1623	emrB			multidrug resistance protein EmrB
IJICCACA_03508	CDS	687				hypothetical protein
IJICCACA_03509	CDS	1701				KsdD-like steroid dehydrogenase
IJICCACA_03510	CDS	639				hypothetical protein
IJICCACA_03511	CDS	672				hypothetical protein
IJICCACA_03512	CDS	240	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
IJICCACA_03513	CDS	675	purQ			phosphoribosylformylglycinamidine synthase
IJICCACA_03514	CDS	474				hypothetical protein
IJICCACA_03515	CDS	729				hypothetical protein
IJICCACA_03516	CDS	1044				oxidoreductase
IJICCACA_03517	CDS	810				transcriptional regulator
IJICCACA_03518	CDS	306				monooxygenase
IJICCACA_03519	CDS	1500				oxidoreductase
IJICCACA_03520	CDS	2196	glgB			1,4-alpha-glucan branching protein
IJICCACA_03521	CDS	2067	glgE			alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
IJICCACA_03522	CDS	2592	glgP			glycogen phosphorylase
IJICCACA_03523	CDS	1977	dinG			ATP-dependent helicase DinG
IJICCACA_03524	CDS	1347	pncB1			nicotinic acid phosphoribosyltransferase PncB1
IJICCACA_03525	CDS	306				ATP-dependent Clp protease adapter protein ClpS
